# z_coordinate_Angstrom  potential_eV
   18.8726     -0.0000
   18.9730     -0.0000
   19.0734     -0.0000
   19.1737     -0.0000
   19.2741     -0.0000
   19.3745     -0.0000
   19.4749     -0.0000
   19.5753     -0.0000
   19.6757     -0.0000
   19.7761     -0.0000
   19.8764     -0.0000
   19.9768     -0.0000
   20.0772     -0.0000
   20.1776     -0.0000
   20.2780     -0.0000
   20.3784     -0.0000
   20.4788     -0.0000
   20.5792     -0.0000
   20.6795     -0.0000
   20.7799     -0.0000
   20.8803     -0.0000
   20.9807     -0.0000
   21.0811     -0.0000
   21.1815     -0.0000
   21.2819     -0.0000
   21.3822     -0.0000
   21.4826     -0.0000
   21.5830     -0.0000
   21.6834     -0.0000
   21.7838     -0.0000
   21.8842     -0.0000
   21.9846     -0.0000
   22.0849     -0.0000
   22.1853     -0.0000
   22.2857     -0.0000
   22.3861     -0.0000
   22.4865     -0.0000
   22.5869     -0.0000
   22.6873     -0.0000
   22.7876     -0.0000
   22.8880     -0.0000
   22.9884     -0.0000
   23.0888     -0.0000
   23.1892     -0.0000
   23.2896     -0.0000
   23.3900     -0.0000
   23.4903     -0.0000
   23.5907     -0.0000
   23.6911     -0.0000
   23.7915     -0.0000
   23.8919     -0.0000
   23.9923     -0.0000
   24.0927     -0.0000
   24.1931     -0.0000
   24.2934     -0.0000
   24.3938     -0.0000
   24.4942     -0.0000
   24.5946     -0.0000
   24.6950     -0.0000
   24.7954     -0.0000
   24.8958     -0.0000
   24.9961     -0.0000
   25.0965     -0.0000
   25.1969     -0.0000
   25.2973     -0.0000
   25.3977     -0.0000
   25.4981     -0.0000
   25.5985     -0.0000
   25.6988     -0.0000
   25.7992     -0.0000
   25.8996     -0.0000
   26.0000     -0.0000
